id_habitacion,id_tipo,estado
1,2,Disponible
2,2,Disponible
3,3,Mantenimiento
4,1,Ocupada
5,2,Ocupada
6,1,Disponible
7,4,Disponible
8,1,Ocupada
9,3,Ocupada
10,1,Ocupada
11,3,Ocupada
12,4,Ocupada
13,2,Disponible
14,3,Disponible
15,4,Ocupada
16,3,Ocupada
17,4,Ocupada
18,2,Mantenimiento
19,2,Ocupada
20,2,Mantenimiento
21,2,Disponible
22,1,Mantenimiento
23,4,Disponible
24,2,Mantenimiento
25,3,Disponible
26,4,Mantenimiento
27,3,Ocupada
28,2,Disponible
29,4,Disponible
30,2,Ocupada
31,2,Ocupada
32,2,Ocupada
33,3,Disponible
34,1,Ocupada
35,4,Ocupada
36,4,Disponible
37,4,Ocupada
38,4,Disponible
39,4,Ocupada
40,2,Disponible
41,3,Disponible
42,2,Disponible
43,1,Disponible
44,1,Ocupada
45,3,Mantenimiento
46,2,Ocupada
47,4,Ocupada
48,2,Ocupada
49,1,Disponible
50,3,Ocupada
51,2,Disponible
52,2,Mantenimiento
53,1,Mantenimiento
54,2,Disponible
55,3,Ocupada
56,3,Disponible
57,4,Disponible
58,2,Ocupada
59,1,Disponible
60,2,Ocupada
61,4,Ocupada
62,3,Ocupada
63,1,Ocupada
64,1,Mantenimiento
65,4,Ocupada
66,1,Ocupada
67,4,Disponible
68,3,Disponible
69,2,Ocupada
70,1,Ocupada
71,1,Ocupada
72,1,Disponible
73,4,Disponible
74,3,Ocupada
75,4,Disponible
76,3,Ocupada
77,4,Disponible
78,4,Disponible
79,1,Disponible
80,2,Disponible
81,4,Ocupada
82,1,Ocupada
83,4,Disponible
84,3,Disponible
85,4,Disponible
86,3,Ocupada
87,2,Disponible
88,2,Ocupada
89,3,Disponible
90,1,Mantenimiento
91,3,Disponible
92,3,Ocupada
93,1,Ocupada
94,3,Mantenimiento
95,1,Disponible
96,4,Disponible
97,1,Disponible
98,4,Disponible
99,1,Disponible
100,4,Disponible
101,1,Mantenimiento
102,2,Mantenimiento
103,1,Ocupada
104,1,Disponible
105,2,Disponible
106,3,Ocupada
107,1,Mantenimiento
108,3,Ocupada
109,4,Disponible
110,4,Disponible
111,2,Disponible
112,3,Disponible
113,2,Mantenimiento
114,1,Disponible
115,3,Disponible
116,4,Disponible
117,1,Ocupada
118,4,Ocupada
119,3,Disponible
120,4,Ocupada
121,2,Ocupada
122,2,Ocupada
123,4,Disponible
124,1,Disponible
125,1,Ocupada
126,4,Disponible
127,4,Ocupada
128,1,Ocupada
129,4,Ocupada
130,4,Disponible
131,3,Disponible
132,3,Ocupada
133,1,Disponible
134,3,Disponible
135,4,Mantenimiento
136,4,Disponible
137,1,Ocupada
138,1,Disponible
139,3,Disponible
140,3,Disponible
141,2,Disponible
142,4,Ocupada
143,2,Ocupada
144,4,Ocupada
145,2,Ocupada
146,2,Ocupada
147,2,Ocupada
148,1,Ocupada
149,2,Ocupada
150,2,Disponible
151,2,Disponible
152,1,Disponible
153,2,Ocupada
154,1,Ocupada
155,2,Disponible
156,4,Ocupada
157,3,Disponible
158,2,Mantenimiento
159,1,Ocupada
160,4,Ocupada
161,4,Disponible
162,3,Disponible
163,2,Mantenimiento
164,2,Ocupada
165,2,Mantenimiento
166,3,Ocupada
167,3,Disponible
168,2,Ocupada
169,4,Ocupada
170,1,Disponible
171,2,Disponible
172,2,Ocupada
173,4,Disponible
174,2,Disponible
175,2,Ocupada
176,2,Disponible
177,3,Ocupada
178,1,Ocupada
179,4,Disponible
180,2,Ocupada
181,3,Disponible
182,3,Ocupada
183,4,Disponible
184,1,Disponible
185,3,Disponible
186,2,Ocupada
187,2,Ocupada
188,3,Ocupada
189,4,Ocupada
190,4,Disponible
191,4,Mantenimiento
192,3,Disponible
193,1,Disponible
194,2,Disponible
195,4,Disponible
196,2,Disponible
197,3,Disponible
198,3,Disponible
199,2,Ocupada
200,3,Disponible
